,primary_title,rating
725,De Pernas pro Ar,44%
726,Fun Size,25%
727,Lost and Found,40%
728,Suffragette,73%
729,Flipped,54%
730,Amen,67%
731,Margaret,74%
732,Seven Psychopaths,83%
733,Under the Skin,88%
734,No Good Deed,25%
735,Black Swan,83%
736,The First Purge,56%
737,Miracles from Heaven,45%
738,Snow Day,29%
739,The Shallows,78%
740,About Last Night,61%
741,Earth to Echo,50%
742,Ex Machina,92%
743,Eye in the Sky,95%
744,Admission,38%
745,The Perks of Being a Wallflower,86%
746,Room,25%
747,Woodlawn,73%
748,Bajrangi Bhaijaan,87%
749,The Vatican Tapes,20%
750,Attack the Block,90%
751,The Killer Inside Me,55%
752,Womb,35%
753,The Drop,89%
754,Machete,72%
755,Casino Jack,40%
756,The Fault in Our Stars,81%
757,Think Like a Man,54%
758,Act of Valor,27%
759,Step Up,21%
760,Chronicle,85%
761,Project X,71%
762,Overboard,44%
763,Philomena,90%
764,Paper Towns,58%
765,Hell or High Water,97%
766,Top Five,85%
767,Project Almanac,36%
768,Just Wright,46%
769,Nebraska,91%
770,Young Adult,80%
771,About Time,68%
772,If Beale Street Could Talk,95%
773,Wish Upon,19%
774,Marshall,81%
775,Arbitrage,88%
776,Kill the Irishman,62%
777,Darling Companion,21%
778,Trash,46%
779,5 Days of War,34%
780,10 Days in a Madhouse,98%
781,Drive Hard,8%
782,The Dressmaker,57%
783,Carol,94%
784,Dirty Grandpa,11%
785,The Fighter,90%
786,If I Stay,35%
787,Brooklyn,97%
788,Woman in Gold,57%
789,Inside Llewyn Davis,92%
790,Frailty,74%
791,Peeples,38%
792,The Gospel of John,37%
793,Brighton Rock,95%
794,LOL,100%
795,Misconduct,7%
796,The Last Days on Mars,18%
797,Housefull,42%
798,Book Club,54%
799,Lady Bird,99%
800,The Best Exotic Marigold Hotel,78%
801,Hereditary,89%
802,The Boy,30%
803,Devil,50%
804,The Second Best Exotic Marigold Hotel,65%
805,How to Be a Latin Lover,39%
806,Calendar Girls,74%
807,Slender Man,8%
808,Sinister 2,16%
809,Sparkle,78%
810,Mud,97%
811,The Disaster Artist,91%
812,Blair Witch,37%
813,Valentine,12%
814,My Week with Marilyn,83%
815,Big Eyes,72%
816,Movie 43,4%
817,Can You Ever Forgive Me?,98%
818,MacGruber,48%
819,Bad Words,65%
820,Bones,23%
821,Seeking a Friend for the End of the World,55%
822,Shut In,7%
823,Cedar Rapids,86%
824,Danny Collins,77%
825,La llamada,33%
826,Gotti,60%
827,The Man Who Knew Infinity,63%
828,Max Steel,0%
829,Rosewater,76%
830,Testament of Youth,84%
831,Free Fire,69%
832,A Better Life,85%
833,Une vie meilleure,48%
834,Gun Shy,24%
835,Killer Joe,79%
836,Churchill,49%
837,50 to 1,29%
838,Parkland,50%
839,Welcome to the Rileys,54%
840,Kicks,50%
841,Severance,66%
842,Edmond,47%
843,Blood Done Sign My Name,52%
844,Motherhood,20%
845,Strangerland,41%
846,Barbecue,86%
847,American Heist,13%
848,Friend Request,16%
849,Gunless,40%
850,Dangal,88%
851,The Runaways,69%
852,Jab Tak Hai Jaan,89%
853,Kites,72%
854,The Strangers,48%
855,Happy Death Day 2U,71%
856,Black or White,39%
857,The Edge of Seventeen,94%
858,Milosc,86%
859,Gracie,61%
860,The Sapphires,91%
861,Greater,67%
862,Destroyer,73%
863,Dheepan,87%
864,Skin Trade,25%
865,Beneath Hill 60,86%
866,Polisse,87%
867,Manchester by the Sea,96%
868,Nightcrawler,95%
869,Baggage Claim,15%
870,The Rover,66%
871,Get Squirrely,14%
872,Yeh Jawaani Hai Deewani,57%
873,Limbo,72%
874,Easy A,85%
875,A Walk in the Woods,47%
876,That Awkward Moment,22%
877,Shutter,59%
878,Enough Said,95%
879,Begin Again,80%
880,See No Evil,9%
881,Me and Earl and the Dying Girl,81%
882,Morgan,67%
883,Anomalisa,92%
884,Another Year,93%
885,Lean on Pete,90%
886,Made in Dagenham,80%
887,El Chicano,38%
888,London Fields,0%
889,Wild Target,33%
890,Wuthering Heights,25%
891,A Street Cat Named Bob,77%
892,Aloft,17%
893,Akira,90%
894,Burn Your Maps,64%
895,Albert Nobbs,56%
896,The Neon Demon,59%
897,Black November,23%
898,Outside Bet,0%
899,The Bye Bye Man,19%
900,3,52%
901,Magic Mike,79%
902,Five Feet Apart,53%
903,Jumping the Broom,57%
904,Kingdom Come,28%
905,Beyond the Lights,84%
906,Cyrus,80%
907,We Need to Talk About Kevin,75%
908,The Christmas Candle,21%
909,Freeheld,83%
910,Dom Hemingway,56%
911,Hesher,55%
912,Gerry,61%
913,Oddball,87%
914,Twixt,26%
915,Criminal Activities,48%
916,House at the End of the Street,13%
917,Two Lovers and a Bear,84%
918,Incendies,93%
919,Annabelle,29%
920,Same Kind of Different as Me,40%
921,Shame,65%
922,The East,76%
923,The Messenger,90%
924,Tracker,85%
925,Het Tweede Gelaat,50%
926,Breaking In,90%
927,Unplanned,42%
928,The Possession of Hannah Grace,18%
929,The Words,24%
930,The Lady in the Van,89%
931,Bernie,92%
932,Casa de mi Padre,42%
933,Wish I Was Here,47%
934,Venus,88%
935,Veronica Mars,79%
936,Snow Flower and the Secret Fan,21%
937,Mandy,95%
938,The 5th Quarter,57%
939,Deadfall,39%
940,Song One,33%
941,Icarus,24%
942,Freaky Deaky,41%
943,The Hit List,22%
944,Trade of Innocents,0%
945,Khiladi 786,0%
946,Shine,91%
947,Don Jon,79%
948,Hell Fest,40%
949,Le Havre,99%
950,Salvation Boulevard,23%
951,R100,71%
952,Animals,20%
953,Grabbers,72%
954,Dum Maaro Dum,50%
955,Get Out,98%
956,Split,51%
957,Paranormal Activity 3,66%
958,10 Cloverfield Lane,90%
959,Happy Death Day,71%
960,Paranormal Activity 4,23%
961,Ouija,46%
962,The Big Sick,98%
963,Monster,81%
964,Oculus,74%
965,No Escape,50%
966,The Lazarus Effect,16%
967,Our Idiot Brother,70%
968,The Way Way Back,84%
969,Race,11%
970,Still Alice,85%
971,Apollo 18,23%
972,Spring Breakers,67%
973,It Comes at Night,87%
974,Before I Fall,65%
975,Fifty Shades of Black,7%
976,The Belko Experiment,53%
977,90 Minutes in Heaven,26%
978,Table 19,26%
979,Green Room,33%
980,The Other Side of the Door,35%
981,Everything Must Go,73%
982,Rabbit Hole,87%
983,Paterson,96%
984,Cop Car,80%
985,Stuck,73%
986,Rudderless,64%
987,Area 51,14%
988,The Cottage,17%
989,Dying of the Light,8%
990,Yoga Hosers,23%
991,Reach Me,4%
992,Born of War,35%
993,The Hatching,29%
994,Mommy,31%
995,The Awakening,62%
996,Hostel,61%
997,Only God Forgives,41%
998,Take Shelter,92%
999,The Boy Who Smells Like Fish,40%
1000,Barfi,86%
1001,The Lobster,87%
1002,Bound,88%
1003,Blackthorn,74%
1004,Maggie,83%
1005,The Sweeney,45%
1006,Falcon Rising,43%
1007,Fugly,30%
1008,Zipper,20%
1009,The Final Girls,72%
1010,Daisy Winters,60%
1011,Animal Kingdom,94%
1012,Cargo,19%
1013,The Boy Next Door,25%
1014,Boyhood,97%
1015,The Kids Are All Right,92%
1016,A Haunted House 2,8%
1017,The Last Exorcism Part II,15%
1018,Saving Grace,77%
1019,The Darkness,3%
1020,Bug,62%
1021,The Art of Getting By,19%
1022,Red State,60%
1023,Holy Motors,92%
1024,The Face of Love,42%
1025,Joe,82%
1026,Desert Dancer,33%
1027,Manglehorn,51%
1028,Stake Land,74%
1029,13 Sins,65%
1030,Another Happy Day,46%
1031,Inescapable,27%
1032,Replicas,45%
1033,The Perfect Wave,35%
1034,Four Lions,82%
1035,Truth or Dare,57%
1036,Winchester,13%
1037,Forever My Girl,25%
1038,First Reformed,93%
1039,American Honey,79%
1040,The Bronze,36%
1041,The Masked Saint,14%
1042,Time to Choose,86%
1043,The Kick,34%
1044,Lords of London,17%
1045,Margin Call,87%
1046,August,36%
1047,The Opposite Sex,20%
1048,Sorry to Bother You,93%
1049,Beginners,85%
1050,Adam,58%
1051,Feast,57%
1052,Antiviral,66%
1053,Paranormal Activity 2,58%
1054,War Room,96%
1055,The Purge,40%
1056,Sinister,22%
1057,Let There Be Light,83%
1058,Water,90%
1059,Swiss Army Man,71%
1060,Frances Ha,92%
1061,Please Give,87%
1062,Letters to God,26%
1063,Die Wand,78%
1064,Damsels in Distress,75%
1065,Oldboy,82%
1066,Hobo with a Shotgun,66%
1067,Bachelorette,56%
1068,The Bounce Back,67%
1069,Holly,65%
1070,Fort McCoy,50%
1071,Before We Go,27%
1072,Demonic,12%
1073,They Came Together,68%
1074,Open Road,29%
1075,Barry Munday,47%
1076,Enter the Dangerous Mind,23%
1077,Amnesiac,0%
1078,Unnatural,17%
1079,Close Range,86%
1080,Freakonomics,66%
1081,Griff the Invisible,63%
1082,Indivisibili,91%
1083,Ida,38%
1084,A Haunted House,9%
1085,The Spectacular Now,91%
1086,Hunt for the Wilderpeople,96%
1087,Super,0%
1088,Underdogs,54%
1089,Metegol,67%
1090,Christmas Mail,36%
1091,8 Days,64%
1092,Antibirth,70%
1093,The Rise of the Krays,22%
1094,Do You Believe?,25%
1095,Bully,54%
1096,Mi America,50%
1097,Infected,9%
1098,The Dead Inside,47%
1099,The Timber,79%
1100,Courageous,36%
1101,It Follows,95%
1102,Eighth Grade,99%
1103,Hardcore Henry,51%
1104,Meet the Mormons,18%
1105,The Florida Project,96%
1106,All Saints,95%
1107,Inside Job,98%
1108,We Are Your Friends,38%
1109,Hearts Beat Loud,92%
1110,The Resurrection of Gavin Stone,50%
1111,The Diary of a Teenage Girl,95%
1112,Locke,91%
1113,The Babadook,98%
1114,Stonewall,63%
1115,The Last Five Years,61%
1116,Knock Knock,25%
1117,Plush,33%
1118,The Ghastly Love of Johnny X,69%
1119,Grave Encounters,67%
1120,Bone Tomahawk,90%
1121,Stitches,22%
1122,Nine Dead,29%
